CantZ	1	142	207	301	-9	503	620
CantZ	1	142	206	302	-9	503	620
CatkAS	2	121	-9	322	-9	-9	628
CatkAS	2	121	-9	322	-9	-9	628
CatkAT	2	122	-9	322	-9	503	628
CatkAT	2	122	-9	322	-9	503	628
CatkAZ	2	122	-9	322	-9	503	628
CatkAZ	2	122	-9	322	-9	503	628
CatkB	2	122	201	323	406	503	645
CatkB	2	122	201	323	406	503	645
CatkC	2	123	202	322	406	527	646
CatkC	2	123	202	322	406	527	646
CatkD	2	122	202	322	406	503	647
CatkD	2	122	202	322	406	503	647
CatkE	2	-9	-9	324	-9	528	648
CatkE	2	-9	-9	324	-9	528	648
CatkF	2	-9	203	325	-9	508	628
CatkF	2	-9	203	326	-9	508	628
CatkG	2	-9	204	306	-9	529	628
CatkG	2	-9	204	306	-9	529	628
CatkH	2	-9	204	306	-9	530	628
CatkH	2	-9	204	306	-9	530	628
CatkI	2	124	-9	322	-9	531	628
CatkI	2	124	-9	322	-9	531	628
CatkJ	2	125	-9	323	-9	527	649
CatkJ	2	125	-9	323	-9	527	649
CatkK	2	126	-9	322	-9	503	628
CatkK	2	126	-9	323	-9	503	628
CatkL	2	124	-9	322	-9	503	628
CatkL	2	124	-9	322	-9	503	628
CatkM	2	122	-9	322	-9	502	628
CatkM	2	122	-9	322	-9	502	628
CatkN	2	122	-9	322	-9	503	628
CatkN	2	122	-9	322	-9	503	628
CatkO	2	127	-9	322	-9	503	628
CatkO	2	127	-9	322	-9	503	628
